,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
9263,18005,South B Hospital Ltd,Nairobi,Nursing Home,Private Practice - General Practitioner,Mukuru Nyayo,Nairobi South,STAREHE,Y,N,Operational
9264,13144,South B Police Band Dispensary,Nairobi,Dispensary,Other Public Institution,Mukuru Nyayo,Nairobi South,STAREHE,N,N,Operational
9269,17390,Southern Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Nairobi West,South C,LANG'ATA,N,Y,Operational
9271,13017,Soweto Kayole PHC Health Centre,Nairobi,Health Centre,Non-Governmental Organizations,Kayole,Soweto,EMBAKASI CENTRAL,N,N,Operational
9273,20627,Soweto West Community Clinic,Nairobi,Dispensary,Ministry of Health,Sarang'ombe,Gatwekera,KIBRA,N,N,Operational
9283,13193,Special Treatment Clinic,Nairobi,Dispensary,Local Authority,City Square,,STAREHE,N,N,Operational
9287,20054,Springs of Life Lutheran Dispensary,Nairobi,Dispensary,Christian Health Association of Kenya,Sarang'ombe,Olympic,KIBRA,N,Y,Operational
9290,19547,Srisathya Sai Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,WESTLANDS,Y,Y,Operational
9297,18219,St Alice (EDARP) Dandora,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Dandora,Dandora,KASARANI,N,N,Operational
9298,18495,St Aloysius Gonzaga School Dispensary,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Mugumoini,Ngei 1 Estate,LANG'ATA,N,N,Operational
9306,17876,St Angela Merici Health Centre (Kingeero),Nairobi,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Kingeero,Kingeero,WESTLANDS,Y,Y,Operational
9319,13196,St Annes Medical Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kahawa,,ROYSAMBU,N,N,Operational
9321,18756,St Anns Medical Centre,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Riruta,Ngando,DAGORETTI SOUTH,N,Y,Operational
9325,20080,St Anselmo Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Umoja ,Umoja Inner Core,EMBAKASI WEST,N,Y,Operational
9336,17723,St Barkita Dispensary Utawala,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Embakasi,Utawala,EMBAKASI EAST,N,N,Operational
9339,13198,St Begson Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,N,N,Operational
9342,13199,St Bridget's Mother & Child,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kariokor,Ziwani,STAREHE,N,N,Operational
9350,13200,St Catherine's Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,Y,Y,Operational
9359,18465,St Clare Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Embakasi,Pipeline,EMBAKASI SOUTH,Y,Y,Operational
9364,19896,St Eliza Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Laini saba,Laini Saba,LANG'ATA,N,Y,Operational
9372,13201,St Florence Medical Care Health Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,Mountain View,WESTLANDS,N,N,Operational
9373,13202,St Francis Com Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Githurai,,KASARANI,N,N,Operational
9374,17943,St Francis Community Hospital (Kasarani),Nairobi,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Kasarani,Kasarani,KASARANI,Y,Y,Operational
9377,13203,St Francis Health Centre (Nairobi North),Nairobi,Health Centre,Other Faith Based,Githurai,,ROYSAMBU,N,N,Operational
9397,19299,St James Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Jagwani,ROYSAMBU,N,Y,Operational
9398,19033,St James Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Sarang'ombe,Gatwekera,KIBRA,N,Y,Operational
9405,13205,St John Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Roysambu,,ROYSAMBU,Y,Y,Operational
9407,19448,St John Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,,,EMBAKASI CENTRAL,Y,Y,Operational
9414,13206,St Johns Ambulance,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
9416,18408,St John's Community Centre,Nairobi,Medical Clinic,Other Faith Based,Pumwani,Pumwani,KAMUKUNJI,N,N,Operational
9417,18222,St John's Community Clinic Njiru,Nairobi,Medical Clinic,Non-Governmental Organizations,Njiru,Njiru,KASARANI,N,Y,Operational
9426,13207,St Joseph (EDARP) Clinic,Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Shauri Moyo,,KAMUKUNJI,N,N,Operational
9442,13208,St Joseph Mukasa Dispensary,Nairobi,Dispensary,Other Faith Based,Kahawa,Kahawa west,ROYSAMBU,N,N,Operational
9444,17933,St Joseph Nursing Home,Nairobi,Nursing Home,Kenya Episcopal Conference-Catholic Secretariat,Eastleigh North,Eastleigh North,KAMUKUNJI,Y,Y,Operational
9446,13209,St Joseph W Dispensary (Westlands),Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Uthiru,,WESTLANDS,N,N,Operational
9448,13210,St Joseph's Dispensary (Dagoretti),Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Riruta,,DAGORETTI SOUTH,N,N,Operational
9458,13213,St Lukes (Kona) Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Riruta,,DAGORETTI SOUTH,N,N,Operational
9465,17391,St Mac's Hospital,Nairobi,Dispensary,Community,Laini Saba,Laini Saba,KIBRA,Y,Y,Operational
9471,13214,St Mark Medical Clinic (Nairobi East),Nairobi,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,KASARANI,N,N,Operational
9497,13217,St Mary's Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Korogocho,,ROYSAMBU,N,N,Operational
9499,17940,St Mary's Health Services,Nairobi,Health Centre,Private Practice - Unspecified,Githurai,Githurai,ROYSAMBU,Y,Y,Operational
9505,13216,St Mary's Medical Clinic,Nairobi,Maternity Home,Private Enterprise (Institution),Kibera,Makina,KIBRA,Y,Y,Operational
9506,13215,St Mary's Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Umoja ,Umoja ,EMBAKASI CENTRAL,N,N,Operational
9513,13218,St Mary's Mission Hospital,Nairobi,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
9522,19438,St Maurice Medical Services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Umoja,Umoja Two,EMBAKASI CENTRAL,N,Y,Operational
9525,13219,St Michael Clinic,Nairobi,Dispensary,Private Enterprise (Institution),Golfcourse,,DAGORETTI SOUTH,N,N,Operational
9526,19332,St Michael Community Nursing Home,Nairobi,Medical Clinic,Private Practice - General Practitioner,kahawa,kahawa,ROYSAMBU,Y,Y,Operational
9549,13222,St Patrick Health Care Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
9550,19297,St Patrick Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Babadogo,RUARAKA,N,Y,Operational
9564,17392,St Pery's Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kibera,Makina,KIBRA,N,Y,Operational
9566,13223,St Peter Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kasarani,,KASARANI,N,N,Operational
9580,13224,St Philips Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kariobangi,,ROYSAMBU,N,N,Operational
9586,17683,St Raphael's Clinic,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kayole,Mihang'o,EMBAKASI EAST,N,N,Operational
9595,19380,St Teresa Medical Clinic ( Zimmerman),Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
9598,13227,St Teresa's Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,N,N,Operational
9599,13226,St Teresa's Health Centre (Nairobi North),Nairobi,Health Centre,Private Enterprise (Institution),Eastleigh Section Iii,,KAMUKUNJI,N,N,Operational
9600,13225,St Teresa's Parish Dispensary,Nairobi,Dispensary,Other Faith Based,Eastleigh Section I,,KAMUKUNJI,N,Y,Operational
9611,13228,St Thomas Medical Clinic,Nairobi,Health Centre,Private Practice - General Practitioner,Umoja,Umoja,EMBAKASI CENTRAL,Y,Y,Operational
9619,18409,St Veronica EDARP Clinic,Nairobi,Medical Clinic,Other Faith Based,Eastleigh South,,KAMUKUNJI,N,N,Operational
9621,13230,St Vincent Catholic Clinic,Nairobi,Medical Clinic,Other Faith Based,Eastleigh North,Eastleigh North,KAMUKUNJI,N,N,Operational
9623,13229,St Vincent Clinic (Nairobi East),Nairobi,Medical Clinic,Private Enterprise (Institution),Ruai,Ruai,KASARANI,N,N,Operational
9633,13221,St. Odilia's Dispensary,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Karen,Karen,LANG'ATA,N,Y,Operational
9638,20216,St.Catherine Catholic Church VCT,Nairobi,VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,Nairobi West,South C,LANG'ATA,N,Y,Operational
9648,20574,Suba Medical Centre,Nairobi,Medical Clinic,Private Practice - Unspecified,Kayole North,Kayole corner,EMBAKASI CENTRAL,N,Y,Operational
9655,19381,Success Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,zimmerman,ROYSAMBU,N,Y,Operational
9680,18281,Sunbeam Medical Centre,Nairobi,Dispensary,Private Enterprise (Institution),kangemi,,WESTLANDS,Y,Y,Operational
9685,20504,Sunrise City Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Huruma,Ngei 2,MATHARE,N,Y,Operational
9691,19351,Sunshine Medical & Diagnostic Centre (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Kariokor,Kariokor,STAREHE,N,Y,Operational
9692,19530,Sunshine Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,WESTLANDS,Y,Y,Operational
9697,18438,Sunton CFW Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,kasarani,kasarani,KASARANI,N,Y,Operational
9702,13233,Supkem (Liverpool),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
9703,20402,Support For Addiction Prevention & Treatment In Africa,Nairobi,Medical Centre,Non-Governmental Organizations,Pangani,Pangani,STAREHE,N,Y,Operational
9704,19355,Supreme Health Care (Ktda House-Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
9706,19637,Sure Drug Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,KAMUKUNJI,N,Y,Operational
9712,17686,Susamed Medical Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kayole,Kayole,EMBAKASI CENTRAL,N,Y,Operational
9719,19394,Swop Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Central,Central,STAREHE,N,N,Operational
9720,19719,Swop Kawangware,Nairobi,Medical Clinic,Non-Governmental Organizations,Kawangware,Kawangware,DAGORETTI SOUTH,N,Y,Operational
9721,19271,Swop Korogocho,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,kariobangi,kariobangi,RUARAKA,N,N,Operational
9722,19429,Swop Outreach Project Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Savannah,Donholm,EMBAKASI WEST,Y,Y,Operational
9723,18896,Swop Thika Road,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Roysambu,Roysambu,ROYSAMBU,N,N,Operational
9739,13234,Tabitha Medical Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Sarang'Ombe,Gatwekera,KIBRA,N,N,Operational
9746,17969,Taiba Medical Centre,Nairobi,Health Centre,Private Enterprise (Institution),Ngara East,,STAREHE,Y,Y,Operational
9806,19283,Tazama Dentel Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
9807,20584,TB Central Reference Lab,Nairobi,Laboratory (Stand-alone),Ministry of Health,,,KIBRA,N,N,Operational
9813,13235,Teachers Service Commission,Nairobi,VCT Centre (Stand-Alone),Other Public Institution,Central Business District,,STAREHE,N,N,Operational
9816,20540,Technical university of Kenya Student/Staff Clinic,Nairobi,Medical Clinic,Other Public Institution,City Centre,city centre,STAREHE,N,Y,Operational
9822,13236,Tena (PCEA) Clinic,Nairobi,Dispensary,Christian Health Association of Kenya,Umoja,Savanna,EMBAKASI WEST,N,N,Operational
9834,19624,Terminus Medical Clinic (Dandora),Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora phase 4,KASARANI,N,Y,Operational
9854,20103,The Savannah Health Services Ltd,Nairobi,Medical Centre,Private Practice - General Practitioner,City Centre,Central,STAREHE,N,Y,Operational
9856,21281,The Zambezi Hospital Limited,Nairobi,Sub-District Hospital,Private Enterprise (Institution),Mugumoini,South C,LANG'ATA,Y,Y,Operational
9870,17950,Thika Road Health Services Ltd (Kasarani),Nairobi,Dispensary,Private Enterprise (Institution),Kasarani,Kasarani,ROYSAMBU,N,Y,Operational
9898,19298,Tibaland Chemistry & Lab,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Utalii,RUARAKA,N,Y,Operational
9969,18544,Touch of Health - Well-Being Centre,Nairobi,Health Programme,Private Practice - Unspecified,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
9975,13237,Transcom Medical Services,Nairobi,Dispensary,Private Enterprise (Institution),Central Business District,,STAREHE,N,N,Operational
9985,13238,Trinity Medical Care Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Riruta,,DAGORETTI NORTH,N,N,Operational
9988,19444,Trocare Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,EMBAKASI CENTRAL,Y,Y,Operational
9991,18335,True Light Medical Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kayole,Kayole Corner,EMBAKASI CENTRAL,Y,Y,Operational
10018,20190,Tumaini Africa,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Ruthimitu,Ruthimitu,DAGORETTI SOUTH,N,N,Operational
10035,17385,Tumaini Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Sarang'ombe,Sarang'ombe,KIBRA,N,Y,Operational
10066,19553,Tusker Dental Laboratory Services & Laboratory,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
10067,19555,Tusker House Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
10096,13239,Uhuru Camp Dispensary (O P Admin Police),Nairobi,Dispensary,Armed Forces,Nairobi West,Nairobi west,LANG'ATA,N,N,Operational
10098,17404,Uhuru Presitige Health Care,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Jericho Lumumba,Uhuru,MAKADARA,N,Y,Operational
10118,19607,Umma CBO,Nairobi,Medical Centre,Humanitarian Agencies,,,KAMUKUNJI,Y,Y,Operational
10119,13240,Umoja Health Centre,Nairobi,Health Centre,Local Authority,Umoja,Umoja,EMBAKASI WEST,N,N,Operational
10120,13241,Umoja Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Umoja,Umoja,EMBAKASI WEST,N,N,Operational
10121,20187,Umoja III Medical Centre(Njiru),Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kariobangi South,Umoja III,EMBAKASI WEST,N,Y,Operational
10127,18233,Umoja VCT Centre Stand Alone,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Umoja,Umja Innercore,EMBAKASI WEST,N,N,Operational
10135,19948,United States International University VCT,Nairobi,VCT Centre (Stand-Alone),Private Practice - Unspecified,Roysambu,Roysambu,ROYSAMBU,N,N,Operational
10136,19399,Unity Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kahawa,Kahawa,ROYSAMBU,N,Y,Operational
10138,18334,Unity Nursing Home,Nairobi,Nursing Home,Private Practice - General Practitioner,Umoja ,Umoja II,EMBAKASI WEST,Y,Y,Operational
10145,13242,University of Nairobi Dispensary,Nairobi,Dispensary,Parastatal,Kilimani,,DAGORETTI NORTH,N,N,Operational
10146,19527,University of Nairobi Health Services,Nairobi,Medical Clinic,Other Public Institution,Kilimani,,DAGORETTI NORTH,Y,Y,Operational
10147,20098,University of Nairobi Institute of Tropical and Infections Disease (UNITID),Nairobi,Training Institution in Health (Stand-alone),Parastatal,KHN,,KIBRA,N,N,Operational
10155,19285,Unmet Health Foundation,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,Utalii,RUARAKA,N,Y,Operational
10161,19476,Upendo Clinic Makadara,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Makadara,Hamza,MAKADARA,N,N,Operational
10162,13243,Upendo Dispensary,Nairobi,Dispensary,Ministry of Health,Mathare,,MATHARE,N,N,Operational
10165,19375,Upendo Medical Centre (Githurai 44),Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
10186,13245,Ushirika Medical Clinic,Nairobi,Health Centre,Community,Sarang'Ombe,Kianda,KIBRA,Y,Y,Operational
10195,18464,Utawala Estate Health Centre,Nairobi,Health Centre,Private Practice - Clinical Officer,Utawala,Utawala,EMBAKASI EAST,Y,Y,Operational
10197,18628,Uthiru Muthua Dispensary,Nairobi,Dispensary,Ministry of Health,Uthiru,,DAGORETTI SOUTH,N,N,Operational
10210,13246,Uzima Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kariobangi,,ROYSAMBU,N,N,Operational
10226,17956,Uzima VCT Centre,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Woodley,,DAGORETTI SOUTH,N,N,Operational
10231,18202,Vegpro In House Clinic,Nairobi,Medical Clinic,Company Medical Service,Embakasi,Embakasi,EMBAKASI EAST,Y,Y,Operational
10244,13247,Victory Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Umoja,Umoja,EMBAKASI WEST,N,N,Operational
10246,19491,Victory Medicare,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,WESTLANDS,N,Y,Operational
10262,18741,Vipawa Medical Services,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kibera,Makina,KIBRA,Y,Y,Operational
10264,19485,VIPS Health Servises,Nairobi,Dispensary,Private Enterprise (Institution),Woodley,Golf Course,KIBRA,N,Y,Operational
10287,13249,Waithaka Health Centre,Nairobi,Health Centre,Local Authority,Waithaka,Waithaka,DAGORETTI SOUTH,Y,Y,Operational
10300,13250,Wakibe Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Huruma,,STAREHE,N,N,Operational
10316,13251,Wamunga Health Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,KASARANI,N,Y,Operational
10343,13252,Wangu Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Ruai,Ruai,KASARANI,N,N,Operational
10353,13253,Warazo Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Githurai,,RUARAKA,N,N,Operational
10383,19284,Wayside Medical & Dental Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,Roysambu,ROYSAMBU,N,Y,Operational
10396,18860,Wellness Program KWS Hq,Nairobi,Medical Clinic,Parastatal,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
10401,13255,Wema CFW Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Mugumoini,Mugumoini,LANG'ATA,N,Y,Operational
10403,17394,Wema Medical Clinic,Nairobi,Maternity Home,Private Practice - Nurse / Midwife,Sarang'ombe,Gatwekera,KIBRA,Y,Y,Operational
10404,19036,Wema Medical Clinic B,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Sarang'ombe,Kianda,KIBRA,N,Y,Operational
10406,13256,Wema Nursing Home,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,N,N,Operational
10411,13257,Wentworth Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Embakasi,Pipeline,EMBAKASI EAST,N,N,Operational
10422,19663,Westlands District Health Management Team,Nairobi,Medical Clinic,Ministry of Health,Parklands,,WESTLANDS,Y,N,Operational
10424,13258,Westlands Health Centre,Nairobi,Health Centre,Local Authority,Parklands,Lower Parklands,WESTLANDS,Y,Y,Operational
10425,19494,Westlands Medical Centre,Nairobi,Medical Clinic,Non-Governmental Organizations,,,WESTLANDS,Y,Y,Operational
10433,19524,Wide Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
10456,13259,Woodley Clinic,Nairobi,Dispensary,Local Authority,Woodley,Woodley,KIBRA,N,N,Operational
10459,13260,Woodstreet Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
10493,19273,Zimerbreeze Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Gthurai ,Zimerman,ROYSAMBU,N,Y,Operational
10494,19378,Zimma Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
10495,13261,Zimmerman Medical Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
10496,13262,Zinduka Clinic,Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Nairobi West,,LANG'ATA,N,N,Operational
